"ES"	"p_val"	"hits"	"hits_n"	"path"
"Cocaine metabolism"	-Inf	1	"NA"	0	"Cocaine metabolism"
"Bladder cancer"	-Inf	1	"NA"	0	"Bladder cancer"
"Hair follicle development organogenesis part 2 of 3"	-Inf	1	"NA"	0	"Hair follicle development organogenesis part 2 of 3"
"Hair follicle development cytodifferentiation part 3 of 3"	2.24162546109034	0.174089574572575	"284110"	1	"Hair follicle development cytodifferentiation part 3 of 3"
"PCSK9 mediated LDL receptor degradation"	-Inf	1	"NA"	0	"PCSK9 mediated LDL receptor degradation"
"Pluripotent stem cell differentiation pathway"	-Inf	1	"NA"	0	"Pluripotent stem cell differentiation pathway"
"Hematopoietic stem cell differentiation"	-Inf	1	"NA"	0	"Hematopoietic stem cell differentiation"
"Endoderm differentiation"	-Inf	1	"NA"	0	"Endoderm differentiation"
"Gene regulatory network modeling somitogenesis "	-Inf	1	"NA"	0	"Gene regulatory network modeling somitogenesis "
"Dopaminergic neurogenesis"	-Inf	1	"NA"	0	"Dopaminergic neurogenesis"
"Mesodermal commitment pathway"	-Inf	1	"NA"	0	"Mesodermal commitment pathway"
"Ectoderm differentiation"	-Inf	1	"NA"	0	"Ectoderm differentiation"
"IL 3 signaling pathway"	-Inf	1	"NA"	0	"IL 3 signaling pathway"
"Apoptosis related network due to altered Notch3 in ovarian cancer"	-Inf	1	"NA"	0	"Apoptosis related network due to altered Notch3 in ovarian cancer"
"IL1 and megakaryocytes in obesity"	-Inf	1	"NA"	0	"IL1 and megakaryocytes in obesity"
"TCA cycle nutrient use and invasiveness of ovarian cancer"	-Inf	1	"NA"	0	"TCA cycle nutrient use and invasiveness of ovarian cancer"
"Extracellular vesicle mediated signaling in recipient cells"	-Inf	1	"NA"	0	"Extracellular vesicle mediated signaling in recipient cells"
"Liver X receptor pathway"	-Inf	1	"NA"	0	"Liver X receptor pathway"
"Constitutive androstane receptor pathway"	-Inf	1	"NA"	0	"Constitutive androstane receptor pathway"
"Pregnane X receptor pathway"	-Inf	1	"NA"	0	"Pregnane X receptor pathway"
"Vitamin D receptor pathway"	-Inf	1	"NA"	0	"Vitamin D receptor pathway"
"PPAR alpha pathway"	-Inf	1	"NA"	0	"PPAR alpha pathway"
"Farnesoid X receptor pathway"	-Inf	1	"NA"	0	"Farnesoid X receptor pathway"
"Nod like receptor NLR signaling pathway"	-Inf	1	"NA"	0	"Nod like receptor NLR signaling pathway"
"Glucocorticoid receptor pathway"	-Inf	1	"NA"	0	"Glucocorticoid receptor pathway"
"Estrogen receptor pathway"	-Inf	1	"NA"	0	"Estrogen receptor pathway"
"Nuclear receptors meta pathway"	-Inf	1	"NA"	0	"Nuclear receptors meta pathway"
"NRF2 pathway"	-Inf	1	"NA"	0	"NRF2 pathway"
"Oxytocin signaling"	-Inf	1	"NA"	0	"Oxytocin signaling"
"Myometrial relaxation and contraction pathways"	-Inf	1	"NA"	0	"Myometrial relaxation and contraction pathways"
"Differentiation of white and brown adipocyte"	-Inf	1	"NA"	0	"Differentiation of white and brown adipocyte"
"miRNA targets in ECM and membrane receptors"	-Inf	1	"NA"	0	"miRNA targets in ECM and membrane receptors"
"Interactome of polycomb repressive complex 2 PRC2 "	-Inf	1	"NA"	0	"Interactome of polycomb repressive complex 2 PRC2 "
"DDX1 as a regulatory component of the Drosha microprocessor"	-Inf	1	"NA"	0	"DDX1 as a regulatory component of the Drosha microprocessor"
"Hypoxia mediated EMT and stemness"	-Inf	1	"NA"	0	"Hypoxia mediated EMT and stemness"
"Nuclear receptors in lipid metabolism and toxicity"	-Inf	1	"NA"	0	"Nuclear receptors in lipid metabolism and toxicity"
"Transcriptional activation by NRF2 in response to phytochemicals"	-Inf	1	"NA"	0	"Transcriptional activation by NRF2 in response to phytochemicals"
"Kit receptor signaling pathway"	-Inf	1	"NA"	0	"Kit receptor signaling pathway"
"Focal adhesion"	-Inf	1	"NA"	0	"Focal adhesion"
"Ketone bodies synthesis and degradation"	-Inf	1	"NA"	0	"Ketone bodies synthesis and degradation"
"Hepatocyte growth factor receptor signaling"	-Inf	1	"NA"	0	"Hepatocyte growth factor receptor signaling"
"Fas ligand pathway and stress induction of heat shock proteins"	-Inf	1	"NA"	0	"Fas ligand pathway and stress induction of heat shock proteins"
"Osteoblast signaling"	-Inf	1	"NA"	0	"Osteoblast signaling"
"Triacylglyceride synthesis"	4.24162546109034	0.0515669758938316	"346606"	1	"Triacylglyceride synthesis"
"Copper homeostasis"	-Inf	1	"NA"	0	"Copper homeostasis"
"Overview of nanoparticle effects"	-Inf	1	"NA"	0	"Overview of nanoparticle effects"
"EV release from cardiac cells and their functional effects"	-Inf	1	"NA"	0	"EV release from cardiac cells and their functional effects"
"Melatonin metabolism and effects"	-Inf	1	"NA"	0	"Melatonin metabolism and effects"
"let 7 inhibition of ES cell reprogramming"	-Inf	1	"NA"	0	"let 7 inhibition of ES cell reprogramming"
"Dual hijack model of Vif in HIV infection"	-Inf	1	"NA"	0	"Dual hijack model of Vif in HIV infection"
"MFAP5 mediated ovarian cancer cell motility and invasiveness"	-Inf	1	"NA"	0	"MFAP5 mediated ovarian cancer cell motility and invasiveness"
"eIF5A regulation in response to inhibition of the nuclear export system"	-Inf	1	"NA"	0	"eIF5A regulation in response to inhibition of the nuclear export system"
"RAC1 PAK1 p38 MMP2 pathway"	-Inf	1	"NA"	0	"RAC1 PAK1 p38 MMP2 pathway"
"GPCRs class B secretin like"	-Inf	1	"NA"	0	"GPCRs class B secretin like"
"Ovarian infertility"	-Inf	1	"NA"	0	"Ovarian infertility"
"FTO obesity variant mechanism"	-Inf	1	"NA"	0	"FTO obesity variant mechanism"
"Evolocumab mechanism to reduce LDL cholesterol"	-Inf	1	"NA"	0	"Evolocumab mechanism to reduce LDL cholesterol"
"NOTCH1 regulation of endothelial cell calcification"	-Inf	1	"NA"	0	"NOTCH1 regulation of endothelial cell calcification"
"Initiation of transcription and translation elongation at the HIV 1 LTR"	-Inf	1	"NA"	0	"Initiation of transcription and translation elongation at the HIV 1 LTR"
"G protein signaling pathways"	-Inf	1	"NA"	0	"G protein signaling pathways"
"Pre implantation embryo"	-Inf	1	"NA"	0	"Pre implantation embryo"
"Zinc homeostasis"	-Inf	1	"NA"	0	"Zinc homeostasis"
"Fatty acid biosynthesis"	-Inf	1	"NA"	0	"Fatty acid biosynthesis"
"Methionine de novo and salvage pathway"	-Inf	1	"NA"	0	"Methionine de novo and salvage pathway"
"MECP2 and associated Rett syndrome"	-Inf	1	"NA"	0	"MECP2 and associated Rett syndrome"
"Cytosine methylation"	-Inf	1	"NA"	0	"Cytosine methylation"
"Sleep regulation"	-Inf	1	"NA"	0	"Sleep regulation"
"MicroRNA for targeting cancer growth and vascularization in glioblastoma"	-Inf	1	"NA"	0	"MicroRNA for targeting cancer growth and vascularization in glioblastoma"
"Circadian rhythm genes"	-Inf	1	"NA"	0	"Circadian rhythm genes"
"mir 124 predicted interactions with cell cycle and differentiation "	-Inf	1	"NA"	0	"mir 124 predicted interactions with cell cycle and differentiation "
"miR 517 relationship with ARCN1 and USP1"	-Inf	1	"NA"	0	"miR 517 relationship with ARCN1 and USP1"
"Transcription factor regulation in adipogenesis"	-Inf	1	"NA"	0	"Transcription factor regulation in adipogenesis"
"Lipid particles composition"	-Inf	1	"NA"	0	"Lipid particles composition"
"Photodynamic therapy induced AP 1 survival signaling"	-Inf	1	"NA"	0	"Photodynamic therapy induced AP 1 survival signaling"
"Photodynamic therapy induced NFE2L2 NRF2 survival signaling"	-Inf	1	"NA"	0	"Photodynamic therapy induced NFE2L2 NRF2 survival signaling"
"Photodynamic therapy induced unfolded protein response"	-Inf	1	"NA"	0	"Photodynamic therapy induced unfolded protein response"
"Photodynamic therapy induced HIF 1 survival signaling"	-Inf	1	"NA"	0	"Photodynamic therapy induced HIF 1 survival signaling"
"Photodynamic therapy induced NF kB survival signaling"	-Inf	1	"NA"	0	"Photodynamic therapy induced NF kB survival signaling"
"Lung fibrosis"	-Inf	1	"NA"	0	"Lung fibrosis"
"Gut liver indole metabolism "	-Inf	1	"NA"	0	"Gut liver indole metabolism "
"Wnt signaling pathway"	-Inf	1	"NA"	0	"Wnt signaling pathway"
"NAD metabolism sirtuins and aging"	-Inf	1	"NA"	0	"NAD metabolism sirtuins and aging"
"Caffeine and theobromine metabolism"	-Inf	1	"NA"	0	"Caffeine and theobromine metabolism"
"Insulin signaling in adipocytes normal condition "	-Inf	1	"NA"	0	"Insulin signaling in adipocytes normal condition "
"Insulin signaling in adipocytes diabetic condition "	-Inf	1	"NA"	0	"Insulin signaling in adipocytes diabetic condition "
"IL6 signaling pathway"	-Inf	1	"NA"	0	"IL6 signaling pathway"
"Imatinib and chronic myeloid leukemia"	-Inf	1	"NA"	0	"Imatinib and chronic myeloid leukemia"
"NAD metabolism"	-Inf	1	"NA"	0	"NAD metabolism"
"NAD biosynthetic pathways"	-Inf	1	"NA"	0	"NAD biosynthetic pathways"
"Hepatitis C and hepatocellular carcinoma"	-Inf	1	"NA"	0	"Hepatitis C and hepatocellular carcinoma"
"Pathways affected in adenoid cystic carcinoma"	-Inf	1	"NA"	0	"Pathways affected in adenoid cystic carcinoma"
"Hypothetical craniofacial development pathway"	-Inf	1	"NA"	0	"Hypothetical craniofacial development pathway"
"Interleukin 1 induced activation of NF kB"	-Inf	1	"NA"	0	"Interleukin 1 induced activation of NF kB"
"Hematopoietic stem cell gene regulation by GABP alpha beta complex"	-Inf	1	"NA"	0	"Hematopoietic stem cell gene regulation by GABP alpha beta complex"
"Wnt beta catenin signaling pathway in leukemia"	-Inf	1	"NA"	0	"Wnt beta catenin signaling pathway in leukemia"
"TGF beta signaling pathway"	-Inf	1	"NA"	0	"TGF beta signaling pathway"
"Regulation of Wnt B catenin signaling by small molecule compounds"	-Inf	1	"NA"	0	"Regulation of Wnt B catenin signaling by small molecule compounds"
"Metabolism of dichloroethylene by CYP450"	-Inf	1	"NA"	0	"Metabolism of dichloroethylene by CYP450"
"Hypothesized pathways in pathogenesis of cardiovascular disease"	-Inf	1	"NA"	0	"Hypothesized pathways in pathogenesis of cardiovascular disease"
"Interactions between LOXL4 and oxidative stress pathway"	-Inf	1	"NA"	0	"Interactions between LOXL4 and oxidative stress pathway"
"lncRNA mediated mechanisms of therapeutic resistance"	-Inf	1	"NA"	0	"lncRNA mediated mechanisms of therapeutic resistance"
"Tgif disruption of Shh signaling"	-Inf	1	"NA"	0	"Tgif disruption of Shh signaling"
"BDNF TrkB signaling"	3.47978519828511	0.0731626298800977	"23237"	1	"BDNF TrkB signaling"
"Amplification and expansion of oncogenic pathways as metastatic traits"	-Inf	1	"NA"	0	"Amplification and expansion of oncogenic pathways as metastatic traits"
"Cell type dependent selectivity of CCK2R signaling"	-Inf	1	"NA"	0	"Cell type dependent selectivity of CCK2R signaling"
"Mitochondrial long chain fatty acid beta oxidation"	-Inf	1	"NA"	0	"Mitochondrial long chain fatty acid beta oxidation"
"Physico chemical features and toxicity associated pathways"	-Inf	1	"NA"	0	"Physico chemical features and toxicity associated pathways"
"MAPK signaling pathway"	-Inf	1	"NA"	0	"MAPK signaling pathway"
"Striated muscle contraction pathway"	3.51725990370377	0.0837782465879173	"7125"	1	"Striated muscle contraction pathway"
"Apoptosis modulation by HSP70"	-Inf	1	"NA"	0	"Apoptosis modulation by HSP70"
"PI3K AKT mTOR signaling pathway and therapeutic opportunities in prostate cancer"	-Inf	1	"NA"	0	"PI3K AKT mTOR signaling pathway and therapeutic opportunities in prostate cancer"
"Canonical and non canonical Notch signaling"	-Inf	1	"NA"	0	"Canonical and non canonical Notch signaling"
"MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"	-Inf	1	"NA"	0	"MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"
"Factors and pathways affecting insulin like growth factor IGF1 Akt signaling"	-Inf	1	"NA"	0	"Factors and pathways affecting insulin like growth factor IGF1 Akt signaling"
"TLR4 signaling and tolerance"	-Inf	1	"NA"	0	"TLR4 signaling and tolerance"
"ERK pathway in Huntington 39 s disease"	-Inf	1	"NA"	0	"ERK pathway in Huntington 39 s disease"
"Toll like receptor signaling related to MyD88"	-Inf	1	"NA"	0	"Toll like receptor signaling related to MyD88"
"TGF beta signaling in thyroid cells for epithelial mesenchymal transition"	-Inf	1	"NA"	0	"TGF beta signaling in thyroid cells for epithelial mesenchymal transition"
"T cell antigen receptor TCR pathway during Staphylococcus aureus infection"	-Inf	1	"NA"	0	"T cell antigen receptor TCR pathway during Staphylococcus aureus infection"
"Novel intracellular components of RIG I like receptor pathway"	-Inf	1	"NA"	0	"Novel intracellular components of RIG I like receptor pathway"
"Cannabinoid receptor signaling"	-Inf	1	"NA"	0	"Cannabinoid receptor signaling"
"Valproic acid pathway"	-Inf	1	"NA"	0	"Valproic acid pathway"
"Regulation of apoptosis by parathyroid hormone related protein"	-Inf	1	"NA"	0	"Regulation of apoptosis by parathyroid hormone related protein"
"RIOK1 and RIOK2 in EGFR and PI3K mediated tumorigenesis"	-Inf	1	"NA"	0	"RIOK1 and RIOK2 in EGFR and PI3K mediated tumorigenesis"
