"ES"	"p_val"	"path"	"hits"	"hits_n"
"Physiological and pathological hypertrophy of the heart"	1.44503223957668	0.287486720546743	"Physiological and pathological hypertrophy of the heart"	"5600"	1
"miRNA regulation of DNA damage response"	-Inf	0.628109680753719	"miRNA regulation of DNA damage response"	""	0
"Vitamin D metabolism"	-Inf	1	"Vitamin D metabolism"	""	0
"Vitamin B12 metabolism"	-Inf	1	"Vitamin B12 metabolism"	""	0
"Angiogenesis"	-Inf	1	"Angiogenesis"	""	0
"Energy metabolism"	0.860069738855525	0.14507467691664	"Energy metabolism"	"3276;23082"	2
"MicroRNAs in cardiomyocyte hypertrophy"	-1.57562723098941	1	"MicroRNAs in cardiomyocyte hypertrophy"	"3551"	1
"miRNAs involved in DNA damage response"	-Inf	1	"miRNAs involved in DNA damage response"	""	0
"Transcription factors regulate miRNAs related to cardiac hypertrophy"	-Inf	1	"Transcription factors regulate miRNAs related to cardiac hypertrophy"	""	0
"Type II diabetes mellitus"	1.56050945699662	0.256609871505098	"Type II diabetes mellitus"	"3551"	1
"Folate alcohol and cancer pathway hypotheses"	-Inf	1	"Folate alcohol and cancer pathway hypotheses"	""	0
"Heart development"	-Inf	1	"Heart development"	""	0
"Nicotine metabolism in liver cells"	-Inf	1	"Nicotine metabolism in liver cells"	""	0
"Fluoropyrimidine activity"	-Inf	1	"Fluoropyrimidine activity"	""	0
"Nicotine effect on dopaminergic neurons"	-Inf	1	"Nicotine effect on dopaminergic neurons"	""	0
"Nicotine effect on chromaffin cells"	-Inf	1	"Nicotine effect on chromaffin cells"	""	0
"Codeine and morphine metabolism"	-Inf	1	"Codeine and morphine metabolism"	""	0
"Eicosanoid synthesis"	-Inf	1	"Eicosanoid synthesis"	""	0
"Nuclear receptors"	-Inf	1	"Nuclear receptors"	""	0
"TP53 network"	-Inf	1	"TP53 network"	""	0
"Folate metabolism"	-Inf	1	"Folate metabolism"	""	0
"Apoptosis modulation and signaling"	-0.595995028683374	1	"Apoptosis modulation and signaling"	"3551"	1
"Cell cycle"	-1.2032561965133	1	"Cell cycle"	"29882"	1
"Proteasome degradation"	-Inf	0.999999999999999	"Proteasome degradation"	""	0
"Integrin mediated cell adhesion"	-0.554967760423319	1	"Integrin mediated cell adhesion"	"8874"	1
"Homologous recombination"	-Inf	1	"Homologous recombination"	""	0
"Peroxisomal beta oxidation of tetracosanoyl CoA"	-Inf	1	"Peroxisomal beta oxidation of tetracosanoyl CoA"	""	0
"Cori cycle"	-Inf	1	"Cori cycle"	""	0
"IL 1 signaling pathway"	0.0369475009396044	0.534207439252969	"IL 1 signaling pathway"	"3551"	1
"Cholesterol biosynthesis pathway"	-Inf	1	"Cholesterol biosynthesis pathway"	""	0
"Integrated cancer pathway"	-Inf	1	"Integrated cancer pathway"	""	0
"Thyroxine thyroid hormone production"	1.44503223957668	0.29749369331376	"Thyroxine thyroid hormone production"	"65010"	1
"Sterol regulatory element binding proteins SREBP signaling"	-Inf	1	"Sterol regulatory element binding proteins SREBP signaling"	""	0
"SRF and miRs in smooth muscle differentiation and proliferation"	-Inf	1	"SRF and miRs in smooth muscle differentiation and proliferation"	""	0
"Genes targeted by miRNAs in adipocytes"	-Inf	1	"Genes targeted by miRNAs in adipocytes"	""	0
"Effects of nitric oxide"	-Inf	1	"Effects of nitric oxide"	""	0
"Iron metabolism in placenta"	1.3905844555543	0.143786337822337	"Iron metabolism in placenta"	"48"	1
"SREBF and miR33 in cholesterol and lipid homeostasis"	-Inf	1	"SREBF and miR33 in cholesterol and lipid homeostasis"	""	0
"RANKL RANK signaling pathway"	1.23858136210925	0.154820412638127	"RANKL RANK signaling pathway"	"7186;3551"	2
"Cell differentiation expanded index"	-Inf	1	"Cell differentiation expanded index"	""	0
"Cell differentiation index"	-Inf	1	"Cell differentiation index"	""	0
"Thyroid stimulating hormone TSH signaling pathway"	-Inf	1	"Thyroid stimulating hormone TSH signaling pathway"	""	0
"Leptin signaling pathway"	-0.37808999833924	1	"Leptin signaling pathway"	"3551"	1
"Follicle stimulating hormone FSH signaling pathway"	-Inf	1	"Follicle stimulating hormone FSH signaling pathway"	""	0
"TNF related weak inducer of apoptosis TWEAK signaling pathway"	1.47304661574628	0.0987354235664744	"TNF related weak inducer of apoptosis TWEAK signaling pathway"	"7186;3551"	2
"Prolactin signaling pathway"	0.653618861388099	0.277739254742576	"Prolactin signaling pathway"	"10401;7409"	2
"Microtubule cytoskeleton regulation"	-Inf	1	"Microtubule cytoskeleton regulation"	""	0
"IL 7 signaling pathway"	-Inf	1	"IL 7 signaling pathway"	""	0
"Alzheimer 39 s disease and miRNA effects"	-1.10245555572581	0.591779121033044	"Alzheimer 39 s disease and miRNA effects"	"7186;3551"	2
"Fatty acid omega oxidation"	-Inf	1	"Fatty acid omega oxidation"	""	0
"Neural crest differentiation"	-0.797042547621467	1	"Neural crest differentiation"	"7020"	1
"IL 17 signaling pathway"	0.860069738855525	0.36374585694788	"IL 17 signaling pathway"	"3551"	1
"Type III interferon signaling"	-Inf	1	"Type III interferon signaling"	""	0
"Arrhythmogenic right ventricular cardiomyopathy"	-Inf	0.6285505828186	"Arrhythmogenic right ventricular cardiomyopathy"	""	0
"Endothelin pathways"	-Inf	1	"Endothelin pathways"	""	0
"IL 9 signaling pathway"	-Inf	1	"IL 9 signaling pathway"	""	0
"Thymic stromal lymphopoietin TSLP signaling pathway"	-Inf	1	"Thymic stromal lymphopoietin TSLP signaling pathway"	""	0
"Metastatic brain tumor"	-Inf	1	"Metastatic brain tumor"	""	0
"Pilocytic astrocytoma"	-Inf	1	"Pilocytic astrocytoma"	""	0
"Glioblastoma signaling pathways"	-Inf	0.632089995064986	"Glioblastoma signaling pathways"	""	0
"Androgen receptor network in prostate cancer"	-Inf	0.409015225598931	"Androgen receptor network in prostate cancer"	""	0
"Synaptic vesicle pathway"	-Inf	1	"Synaptic vesicle pathway"	""	0
"Pathogenic Escherichia coli infection"	-Inf	1	"Pathogenic Escherichia coli infection"	""	0
"Glial cell differentiation"	-Inf	1	"Glial cell differentiation"	""	0
"Drug induction of bile acid pathway"	-Inf	1	"Drug induction of bile acid pathway"	""	0
"Irinotecan pathway"	-Inf	1	"Irinotecan pathway"	""	0
"RalA downstream regulated genes"	-Inf	1	"RalA downstream regulated genes"	""	0
"Deregulation of Rab and Rab effector genes in bladder cancer"	-Inf	1	"Deregulation of Rab and Rab effector genes in bladder cancer"	""	0
"B cell receptor signaling pathway"	0.338117035660169	0.370334906483679	"B cell receptor signaling pathway"	"7409;3551"	2
"TNF alpha signaling pathway"	0.390584455554305	0.355149348002739	"TNF alpha signaling pathway"	"7186;3551"	2
"AGE RAGE pathway"	-0.102455555725812	0.607203728434635	"AGE RAGE pathway"	"3551"	1
"Allograft rejection"	-Inf	0.639350404519374	"Allograft rejection"	""	0
"Interleukin 11 signaling pathway"	1.41755150315457	0.126011817460116	"Interleukin 11 signaling pathway"	"10401;3551"	2
"Trans sulfuration pathway"	-Inf	1	"Trans sulfuration pathway"	""	0
"miRNA biogenesis"	-Inf	1	"miRNA biogenesis"	""	0
"Corticotropin releasing hormone signaling pathway"	-0.887951043819677	1	"Corticotropin releasing hormone signaling pathway"	"7020"	1
"Parkin ubiquitin proteasomal system pathway"	-Inf	0.627950240702368	"Parkin ubiquitin proteasomal system pathway"	""	0
"Adipogenesis"	-Inf	0.266834446651841	"Adipogenesis"	""	0
"Gastric cancer network 1"	-Inf	1	"Gastric cancer network 1"	""	0
"Gastric cancer network 2"	-Inf	1	"Gastric cancer network 2"	""	0
"Butyrate induced histone acetylation"	-Inf	1	"Butyrate induced histone acetylation"	""	0
"Histone modifications"	-Inf	1	"Histone modifications"	""	0
"Parkinson 39 s disease pathway"	0.78791995309969	0.415575850732174	"Parkinson 39 s disease pathway"	"5600"	1
"Oncostatin M signaling pathway"	-0.0639814079111763	0.547245915320777	"Oncostatin M signaling pathway"	"10401"	1
"Brain derived neurotrophic factor BDNF signaling pathway"	-1.12131458297713	1	"Brain derived neurotrophic factor BDNF signaling pathway"	"3551"	1
"Peptide GPCRs"	-Inf	0.628109680753719	"Peptide GPCRs"	""	0
"Cardiac progenitor differentiation"	-Inf	1	"Cardiac progenitor differentiation"	""	0
"One carbon metabolism"	-Inf	1	"One carbon metabolism"	""	0
"Spinal cord injury"	-Inf	0.418287994876429	"Spinal cord injury"	""	0
"Quercetin and Nf kB AP 1 induced apoptosis"	1.82354386283041	0.20217327519646	"Quercetin and Nf kB AP 1 induced apoptosis"	"3551"	1
"Dopamine metabolism"	-Inf	1	"Dopamine metabolism"	""	0
"Alpha 6 beta 4 signaling pathway"	-Inf	1	"Alpha 6 beta 4 signaling pathway"	""	0
"Retinoblastoma gene in cancer"	-Inf	0.638281168619088	"Retinoblastoma gene in cancer"	""	0
"Amyotrophic lateral sclerosis ALS "	-Inf	1	"Amyotrophic lateral sclerosis ALS "	""	0
"TCA cycle and deficiency of pyruvate dehydrogenase complex PDHc "	1.82354386283041	0.20217327519646	"TCA cycle and deficiency of pyruvate dehydrogenase complex PDHc "	"48"	1
"HIF1A and PPARG regulation of glycolysis"	-Inf	1	"HIF1A and PPARG regulation of glycolysis"	""	0
"Small ligand GPCRs"	-Inf	1	"Small ligand GPCRs"	""	0
"NAD biosynthesis II from tryptophan "	-Inf	1	"NAD biosynthesis II from tryptophan "	""	0
"Diclofenac metabolic pathway"	-Inf	1	"Diclofenac metabolic pathway"	""	0
"Nanomaterial induced apoptosis"	-Inf	1	"Nanomaterial induced apoptosis"	""	0
"Nanoparticle triggered autophagic cell death"	-Inf	1	"Nanoparticle triggered autophagic cell death"	""	0
"Nanoparticle triggered regulated necrosis"	-Inf	1	"Nanoparticle triggered regulated necrosis"	""	0
"ATM signaling pathway"	-Inf	1	"ATM signaling pathway"	""	0
"Trans sulfuration one carbon metabolism and related pathways"	-Inf	1	"Trans sulfuration one carbon metabolism and related pathways"	""	0
"PDGF pathway"	0.590883106040136	0.431904339275828	"PDGF pathway"	"7409"	1
"Glycerophospholipid biosynthetic pathway"	-Inf	1	"Glycerophospholipid biosynthetic pathway"	""	0
"Colchicine metabolic pathway"	-Inf	1	"Colchicine metabolic pathway"	""	0
"Apoptosis"	0.545559115530646	0.350059100766925	"Apoptosis"	"7186;3551"	2
"Sulindac metabolic pathway"	-Inf	1	"Sulindac metabolic pathway"	""	0
"Polycystic kidney disease pathway"	-0.37808999833924	1	"Polycystic kidney disease pathway"	"3551"	1
"Primary focal segmental glomerulosclerosis FSGS "	-Inf	0.627993773769284	"Primary focal segmental glomerulosclerosis FSGS "	""	0
"T cell receptor and co stimulatory signaling"	-Inf	1	"T cell receptor and co stimulatory signaling"	""	0
"Aryl hydrocarbon receptor pathway"	-Inf	0.6285505828186	"Aryl hydrocarbon receptor pathway"	""	0
"Gastric acid production"	-Inf	1	"Gastric acid production"	""	0
"S1P receptor signal transduction"	-Inf	1	"S1P receptor signal transduction"	""	0
"Ebstein Barr virus LMP1 signaling"	1.01618894077281	0.277338416506654	"Ebstein Barr virus LMP1 signaling"	"3551"	1
"Common pathways underlying drug addiction"	-Inf	1	"Common pathways underlying drug addiction"	""	0
"Interleukin 1 IL 1 structural pathway"	1.47304661574628	0.149931286374657	"Interleukin 1 IL 1 structural pathway"	"5600;3551"	2
"Aripiprazole metabolic pathway"	-Inf	1	"Aripiprazole metabolic pathway"	""	0
"Nanoparticle mediated activation of receptor signaling"	1.33811703566017	0.326686008829877	"Nanoparticle mediated activation of receptor signaling"	"5600"	1
"Heroin metabolism"	-Inf	1	"Heroin metabolism"	""	0
"Lidocaine metabolism"	-Inf	1	"Lidocaine metabolism"	""	0
"Notch signaling"	0.686040339080476	0.463216306722428	"Notch signaling"	"23220"	1
"Blood clotting cascade"	-Inf	1	"Blood clotting cascade"	""	0
"Cardiac hypertrophic response"	0.168192034217857	0.540772560030998	"Cardiac hypertrophic response"	"3551"	1
"Selenium metabolism and selenoproteins"	-Inf	1	"Selenium metabolism and selenoproteins"	""	0
"exRNA mechanism of action and biogenesis"	-Inf	1	"exRNA mechanism of action and biogenesis"	""	0
"Complement system"	-Inf	0.645297173100084	"Complement system"	""	0
"Mammary gland development pathway Embryonic development Stage 1 of 4 "	-Inf	1	"Mammary gland development pathway Embryonic development Stage 1 of 4 "	""	0
"Mammary gland development pathway Puberty Stage 2 of 4 "	-Inf	1	"Mammary gland development pathway Puberty Stage 2 of 4 "	""	0
"Mammary gland development pathway Involution Stage 4 of 4 "	-Inf	1	"Mammary gland development pathway Involution Stage 4 of 4 "	""	0
"Felbamate metabolism"	-Inf	1	"Felbamate metabolism"	""	0
"Mammary gland development pathway Pregnancy and lactation Stage 3 of 4 "	-Inf	1	"Mammary gland development pathway Pregnancy and lactation Stage 3 of 4 "	""	0
"Cocaine metabolism"	-Inf	1	"Cocaine metabolism"	""	0
"Bladder cancer"	-Inf	1	"Bladder cancer"	""	0
"Hair follicle development organogenesis part 2 of 3"	-Inf	1	"Hair follicle development organogenesis part 2 of 3"	""	0
"Hair follicle development cytodifferentiation part 3 of 3"	-Inf	0.636273867508579	"Hair follicle development cytodifferentiation part 3 of 3"	""	0
"PCSK9 mediated LDL receptor degradation"	-Inf	1	"PCSK9 mediated LDL receptor degradation"	""	0
"Pluripotent stem cell differentiation pathway"	-Inf	1	"Pluripotent stem cell differentiation pathway"	""	0
"Hematopoietic stem cell differentiation"	0.736081021580071	0.194892283581721	"Hematopoietic stem cell differentiation"	"1437;7409"	2
"Endoderm differentiation"	-Inf	0.272747407594444	"Endoderm differentiation"	""	0
"Gene regulatory network modeling somitogenesis "	-Inf	1	"Gene regulatory network modeling somitogenesis "	""	0
"Dopaminergic neurogenesis"	-Inf	1	"Dopaminergic neurogenesis"	""	0
"Mesodermal commitment pathway"	-Inf	0.275197618274908	"Mesodermal commitment pathway"	""	0
"Ectoderm differentiation"	-1.09293278160731	0.725097779548923	"Ectoderm differentiation"	"7020"	1
"IL 3 signaling pathway"	0.238581362109255	0.507003236701657	"IL 3 signaling pathway"	"7409"	1
"Apoptosis related network due to altered Notch3 in ovarian cancer"	-Inf	1	"Apoptosis related network due to altered Notch3 in ovarian cancer"	""	0
"IL1 and megakaryocytes in obesity"	-Inf	1	"IL1 and megakaryocytes in obesity"	""	0
"TCA cycle nutrient use and invasiveness of ovarian cancer"	-Inf	1	"TCA cycle nutrient use and invasiveness of ovarian cancer"	""	0
"Extracellular vesicle mediated signaling in recipient cells"	-Inf	1	"Extracellular vesicle mediated signaling in recipient cells"	""	0
"Liver X receptor pathway"	-Inf	1	"Liver X receptor pathway"	""	0
"Constitutive androstane receptor pathway"	-Inf	1	"Constitutive androstane receptor pathway"	""	0
"Pregnane X receptor pathway"	-Inf	1	"Pregnane X receptor pathway"	""	0
"Vitamin D receptor pathway"	-Inf	0.116690536170186	"Vitamin D receptor pathway"	""	0
"PPAR alpha pathway"	-Inf	1	"PPAR alpha pathway"	""	0
"Farnesoid X receptor pathway"	-Inf	1	"Farnesoid X receptor pathway"	""	0
"Nod like receptor NLR signaling pathway"	2.97554695627546	0.119262502115401	"Nod like receptor NLR signaling pathway"	"3551"	1
"Glucocorticoid receptor pathway"	-Inf	0.627981142945151	"Glucocorticoid receptor pathway"	""	0
"Estrogen receptor pathway"	-Inf	1	"Estrogen receptor pathway"	""	0
"Nuclear receptors meta pathway"	-Inf	0.0234399942389133	"Nuclear receptors meta pathway"	""	0
"NRF2 pathway"	-Inf	0.270100640188893	"NRF2 pathway"	""	0
"Oxytocin signaling"	-Inf	1	"Oxytocin signaling"	""	0
"Myometrial relaxation and contraction pathways"	-Inf	0.283546504506833	"Myometrial relaxation and contraction pathways"	""	0
"Differentiation of white and brown adipocyte"	-Inf	1	"Differentiation of white and brown adipocyte"	""	0
"miRNA targets in ECM and membrane receptors"	-Inf	1	"miRNA targets in ECM and membrane receptors"	""	0
"Interactome of polycomb repressive complex 2 PRC2 "	-Inf	1	"Interactome of polycomb repressive complex 2 PRC2 "	""	0
"DDX1 as a regulatory component of the Drosha microprocessor"	-Inf	1	"DDX1 as a regulatory component of the Drosha microprocessor"	""	0
"Hypoxia mediated EMT and stemness"	-Inf	1	"Hypoxia mediated EMT and stemness"	""	0
"Nuclear receptors in lipid metabolism and toxicity"	-Inf	1	"Nuclear receptors in lipid metabolism and toxicity"	""	0
"Transcriptional activation by NRF2 in response to phytochemicals"	-Inf	1	"Transcriptional activation by NRF2 in response to phytochemicals"	""	0
"Kit receptor signaling pathway"	0.10107783835932	0.527549263309558	"Kit receptor signaling pathway"	"7409"	1
"Focal adhesion"	-0.498384232056951	1	"Focal adhesion"	"7409;6725"	2
"Ketone bodies synthesis and degradation"	-Inf	1	"Ketone bodies synthesis and degradation"	""	0
"Hepatocyte growth factor receptor signaling"	-Inf	1	"Hepatocyte growth factor receptor signaling"	""	0
"Fas ligand pathway and stress induction of heat shock proteins"	-Inf	1	"Fas ligand pathway and stress induction of heat shock proteins"	""	0
"Osteoblast signaling"	-Inf	1	"Osteoblast signaling"	""	0
"Triacylglyceride synthesis"	-Inf	1	"Triacylglyceride synthesis"	""	0
"Copper homeostasis"	0.262828908355932	0.513948497129324	"Copper homeostasis"	"54739"	1
"Overview of nanoparticle effects"	-Inf	1	"Overview of nanoparticle effects"	""	0
"EV release from cardiac cells and their functional effects"	-Inf	1	"EV release from cardiac cells and their functional effects"	""	0
"Melatonin metabolism and effects"	0.936018592088824	0.40723794475413	"Melatonin metabolism and effects"	"5187"	1
"let 7 inhibition of ES cell reprogramming"	-Inf	1	"let 7 inhibition of ES cell reprogramming"	""	0
"Dual hijack model of Vif in HIV infection"	-Inf	1	"Dual hijack model of Vif in HIV infection"	""	0
"MFAP5 mediated ovarian cancer cell motility and invasiveness"	-Inf	1	"MFAP5 mediated ovarian cancer cell motility and invasiveness"	""	0
"eIF5A regulation in response to inhibition of the nuclear export system"	-Inf	1	"eIF5A regulation in response to inhibition of the nuclear export system"	""	0
"RAC1 PAK1 p38 MMP2 pathway"	0.878685417022872	0.24648914635702	"RAC1 PAK1 p38 MMP2 pathway"	"5600;3551"	2
"GPCRs class B secretin like"	1.50161576794305	0.287486720546743	"GPCRs class B secretin like"	"2696"	1
"Ovarian infertility"	-Inf	1	"Ovarian infertility"	""	0
"FTO obesity variant mechanism"	-Inf	1	"FTO obesity variant mechanism"	""	0
"Evolocumab mechanism to reduce LDL cholesterol"	-Inf	1	"Evolocumab mechanism to reduce LDL cholesterol"	""	0
"NOTCH1 regulation of endothelial cell calcification"	-Inf	1	"NOTCH1 regulation of endothelial cell calcification"	""	0
"Initiation of transcription and translation elongation at the HIV 1 LTR"	-Inf	1	"Initiation of transcription and translation elongation at the HIV 1 LTR"	""	0
"G protein signaling pathways"	-0.409116893959864	1	"G protein signaling pathways"	"9138"	1
"Pre implantation embryo"	-Inf	1	"Pre implantation embryo"	""	0
"Zinc homeostasis"	-Inf	1	"Zinc homeostasis"	""	0
"Fatty acid biosynthesis"	-Inf	1	"Fatty acid biosynthesis"	""	0
"Methionine de novo and salvage pathway"	-Inf	1	"Methionine de novo and salvage pathway"	""	0
"MECP2 and associated Rett syndrome"	-Inf	0.62829594280072	"MECP2 and associated Rett syndrome"	""	0
"Cytosine methylation"	-Inf	1	"Cytosine methylation"	""	0
"Sleep regulation"	-Inf	1	"Sleep regulation"	""	0
"MicroRNA for targeting cancer growth and vascularization in glioblastoma"	-Inf	1	"MicroRNA for targeting cancer growth and vascularization in glioblastoma"	""	0
"Circadian rhythm genes"	-1.65542794220253	0.533303374112166	"Circadian rhythm genes"	"5187"	1
"mir 124 predicted interactions with cell cycle and differentiation "	-Inf	1	"mir 124 predicted interactions with cell cycle and differentiation "	""	0
"miR 517 relationship with ARCN1 and USP1"	-Inf	1	"miR 517 relationship with ARCN1 and USP1"	""	0
"Transcription factor regulation in adipogenesis"	-Inf	1	"Transcription factor regulation in adipogenesis"	""	0
"Lipid particles composition"	-Inf	1	"Lipid particles composition"	""	0
"Photodynamic therapy induced AP 1 survival signaling"	1.2874909625902	0.159740215318309	"Photodynamic therapy induced AP 1 survival signaling"	"5600;7186"	2
"Photodynamic therapy induced NFE2L2 NRF2 survival signaling"	1.44503223957668	0.277338416506654	"Photodynamic therapy induced NFE2L2 NRF2 survival signaling"	"5600"	1
"Photodynamic therapy induced unfolded protein response"	-Inf	1	"Photodynamic therapy induced unfolded protein response"	""	0
"Photodynamic therapy induced HIF 1 survival signaling"	-Inf	1	"Photodynamic therapy induced HIF 1 survival signaling"	""	0
"Photodynamic therapy induced NF kB survival signaling"	1.68604033908048	0.0858215504148791	"Photodynamic therapy induced NF kB survival signaling"	"1437;3551"	2
"Lung fibrosis"	0.145471957717773	0.59587822269803	"Lung fibrosis"	"1437"	1
"Gut liver indole metabolism "	-Inf	1	"Gut liver indole metabolism "	""	0
"Wnt signaling pathway"	-Inf	1	"Wnt signaling pathway"	""	0
"NAD metabolism sirtuins and aging"	-Inf	1	"NAD metabolism sirtuins and aging"	""	0
"Caffeine and theobromine metabolism"	-Inf	1	"Caffeine and theobromine metabolism"	""	0
"Insulin signaling in adipocytes normal condition "	-Inf	1	"Insulin signaling in adipocytes normal condition "	""	0
"Insulin signaling in adipocytes diabetic condition "	-Inf	1	"Insulin signaling in adipocytes diabetic condition "	""	0
"IL6 signaling pathway"	0.191275647330898	0.455552568330103	"IL6 signaling pathway"	"7409"	1
"Imatinib and chronic myeloid leukemia"	-Inf	1	"Imatinib and chronic myeloid leukemia"	""	0
"NAD metabolism"	-Inf	1	"NAD metabolism"	""	0
"NAD biosynthetic pathways"	-Inf	1	"NAD biosynthetic pathways"	""	0
"Hepatitis C and hepatocellular carcinoma"	-Inf	1	"Hepatitis C and hepatocellular carcinoma"	""	0
"Pathways affected in adenoid cystic carcinoma"	1.01618894077281	0.230908288400413	"Pathways affected in adenoid cystic carcinoma"	"23135;23220"	2
"Hypothetical craniofacial development pathway"	2.97554695627546	0.106740666721343	"Hypothetical craniofacial development pathway"	"7020"	1
"Interleukin 1 induced activation of NF kB"	-Inf	1	"Interleukin 1 induced activation of NF kB"	""	0
"Hematopoietic stem cell gene regulation by GABP alpha beta complex"	-Inf	1	"Hematopoietic stem cell gene regulation by GABP alpha beta complex"	""	0
"Wnt beta catenin signaling pathway in leukemia"	-Inf	1	"Wnt beta catenin signaling pathway in leukemia"	""	0
"TGF beta signaling pathway"	-Inf	0.267084222336414	"TGF beta signaling pathway"	""	0
"Regulation of Wnt B catenin signaling by small molecule compounds"	-Inf	1	"Regulation of Wnt B catenin signaling by small molecule compounds"	""	0
"Metabolism of dichloroethylene by CYP450"	-Inf	1	"Metabolism of dichloroethylene by CYP450"	""	0
"Hypothesized pathways in pathogenesis of cardiovascular disease"	1.3905844555543	0.29749369331376	"Hypothesized pathways in pathogenesis of cardiovascular disease"	"2201"	1
"Interactions between LOXL4 and oxidative stress pathway"	-Inf	1	"Interactions between LOXL4 and oxidative stress pathway"	""	0
"lncRNA mediated mechanisms of therapeutic resistance"	-Inf	1	"lncRNA mediated mechanisms of therapeutic resistance"	""	0
"Tgif disruption of Shh signaling"	-Inf	1	"Tgif disruption of Shh signaling"	""	0
"BDNF TrkB signaling"	-Inf	1	"BDNF TrkB signaling"	""	0
"Amplification and expansion of oncogenic pathways as metastatic traits"	-Inf	1	"Amplification and expansion of oncogenic pathways as metastatic traits"	""	0
"Cell type dependent selectivity of CCK2R signaling"	-Inf	1	"Cell type dependent selectivity of CCK2R signaling"	""	0
"Mitochondrial long chain fatty acid beta oxidation"	-Inf	1	"Mitochondrial long chain fatty acid beta oxidation"	""	0
"Physico chemical features and toxicity associated pathways"	-Inf	1	"Physico chemical features and toxicity associated pathways"	""	0
"MAPK signaling pathway"	-0.258250228333236	1	"MAPK signaling pathway"	"5600;7186;3551"	3
"Striated muscle contraction pathway"	-Inf	1	"Striated muscle contraction pathway"	""	0
"Apoptosis modulation by HSP70"	-Inf	1	"Apoptosis modulation by HSP70"	""	0
"PI3K AKT mTOR signaling pathway and therapeutic opportunities in prostate cancer"	-Inf	1	"PI3K AKT mTOR signaling pathway and therapeutic opportunities in prostate cancer"	""	0
"Canonical and non canonical Notch signaling"	-Inf	1	"Canonical and non canonical Notch signaling"	""	0
"MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"	2.23858136210925	0.155793104944555	"MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"	"3551"	1
"Factors and pathways affecting insulin like growth factor IGF1 Akt signaling"	-Inf	1	"Factors and pathways affecting insulin like growth factor IGF1 Akt signaling"	""	0
"TLR4 signaling and tolerance"	1.14547195771777	0.326686008829877	"TLR4 signaling and tolerance"	"3551"	1
"ERK pathway in Huntington 39 s disease"	-Inf	1	"ERK pathway in Huntington 39 s disease"	""	0
"Toll like receptor signaling related to MyD88"	0.975546956275461	0.354675023951211	"Toll like receptor signaling related to MyD88"	"3551"	1
"TGF beta signaling in thyroid cells for epithelial mesenchymal transition"	-Inf	1	"TGF beta signaling in thyroid cells for epithelial mesenchymal transition"	""	0
"T cell antigen receptor TCR pathway during Staphylococcus aureus infection"	1.12310414468932	0.215399063328743	"T cell antigen receptor TCR pathway during Staphylococcus aureus infection"	"1437;3551"	2
"Novel intracellular components of RIG I like receptor pathway"	1.68604033908048	0.051513047915913	"Novel intracellular components of RIG I like receptor pathway"	"5600;7186;3551"	3
"Cannabinoid receptor signaling"	0.78791995309969	0.336146909166309	"Cannabinoid receptor signaling"	"5600"	1
"Valproic acid pathway"	-Inf	1	"Valproic acid pathway"	""	0
"Regulation of apoptosis by parathyroid hormone related protein"	-Inf	1	"Regulation of apoptosis by parathyroid hormone related protein"	""	0
"RIOK1 and RIOK2 in EGFR and PI3K mediated tumorigenesis"	-Inf	1	"RIOK1 and RIOK2 in EGFR and PI3K mediated tumorigenesis"	""	0
