"onlyCRISA"	"onlyCRISB"	"onlyCRISC"	"onlyCRISD"	"onlyCRISE"	"CMS1"	"CMS2"	"CMS3"	"CMS4"	"Cetuximab_adjusted"	"BRAF"	"KRAS"	"MS_status_adjusted"	"CIMP_adjusted"	"gene_id"
"ENST00000372902.4"	0	0	0	-0.0410309250684742	0.150445615476416	0	0	0	0	0	0	0	0	0	"TIMM8A"
"ENST00000644112.2"	0	0	0	0.443224324592414	-1.22458896450509	0	0	0	0	0	0	0	0	0	"TIMM8A"
"ENST00000379370.7"	0	0	0	0	-0.649053447277308	0	0	0	0	0	0	0	0	0	"AGRN"
"ENST00000461111.1"	0	0	0	0	2.65042383751337	0	0	0	0	0	0	1.25617791832341	0	0	"AGRN"
"ENST00000401088.9"	0	0	0	0	-0.60425627991438	0	0	0	0	0	0	0	0	0	"SZRD1"
"ENST00000374303.7"	0	0	0	0	-0.756893955417934	0	0	0	0	0	0	0	0	0	"MTFR1L"
"ENST00000335514.10"	0	0	0	0	0.0953252217055066	0	0	0	0	0	0	0	0	0	"ATP5IF1"
"ENST00000465645.1"	0	0	0	0	-0.710299053235481	0	0	0	0	0	0	0	0	0	"ATP5IF1"
"ENST00000255108.8"	0	0	0	0	0.421782381172633	0	0	0	0	0	0	0	0	0	"DPH2"
"ENST00000495421.1"	0	0	0	0	-0.689174116633415	0	0	0	0	0	0	0	0	0	"DPH2"
"ENST00000372172.5"	0	0	0	0	-0.899608694448339	0	0	0	0	0	0	0	0	0	"HECTD3"
"ENST00000479235.5"	0	0	0	0	2.82415300335686	0	0	0	0	0	0	0	0	0	"GPBP1L1"
"ENST00000355105.8"	0	0	0	0	-0.583425494473817	0	0	0	0	0	0	0	0	0	"GPBP1L1"
"ENST00000371514.8"	0	0	0	0	-0.90523590059302	0	0	0	0	0	0	0	0	0	"SCP2"
"ENST00000370920.8"	0	0	0	0	-0.573734918490039	0	0	0	0	0	0	0	0	0	"ZRANB2"
"ENST00000324862.7"	0	0	0	0	-0.631269977270674	0	0	0	0	0	0	0	0	0	"PRPF3"
"ENST00000368716.9"	0	0	0	0	-2.45000285607832	0	0	0	0	0	0	0	0	0	"S100A4"
"ENST00000318967.7"	0	0	0	0	-0.796469385571736	0	0	0	0	0	0	0	0	0	"INTS3"
"ENST00000428931.6"	0	0	0	0	-0.742274842683594	0	0	0	0	0	0	0	0.344022297548244	0	"UBAP2L"
"ENST00000481771.5"	0	0	0	0	0.176910479868728	0	0	0	0	0	0	0	0	0	"MTX1"
"ENST00000245564.8"	0	0	0	0	-0.849613683837449	0	0	0	0	0	0	0	0	0	"MSTO1"
"ENST00000645668.2"	0	0	0	0	-0.901155014696035	0	0	0	0	0	0	0	0	0	"TSEN15"
"ENST00000367498.8"	0	0	0	0	-0.60580926952415	0	0	0	0	0	0	0	0	0	"IVNS1ABP"
"ENST00000496025.1"	0	0	0	0	4.32347610217386	0	0	0	0	0	0	0	0	0	"TMEM63A"
"ENST00000284551.11"	0	0	0	0	0.151558712670746	0	0	0	0	0	0	0.085320625150057	0	0	"TRIM11"
"ENST00000682386.1"	0	0	0	0	-0.58959219436606	0	0	0	0	0	0	0	0	0	"HNRNPF"
"ENST00000309979.11"	0	0	0	0	-1.2311901664031	0	0	0	0	0	0	0	0	0	"NDST2"
"ENST00000277865.5"	0	0	0	0	-0.578499674566461	0	0	0	0	0	0	0	0	0	"GLUD1"
"ENST00000370220.1"	0	0	0	0	1.02067483703276	0	0	0	0	0	0	0	0	0	"LZTS2"
"ENST00000472379.2"	0	0	0	0	1.40114541786465	0	0	0	0	0	0	0	0	0	"DENND10"
"ENST00000361432.3"	0	0	0	0	-0.578757970400024	0	0	0	0	0	0	0	0	0	"DENND10"
"ENST00000496834.6"	0	0	0	0	-1.80614972682615	0	0	0	0	0	0	0	0	0	"PGAP2"
"ENST00000450114.7"	0	0	0	0	-0.724404457473013	0	0	0	0	0	0	0	0	0	"WEE1"
"ENST00000530712.6"	0	0	0	0	2.81677439196936	0	0	0	0	0	0	0	0	0	"WEE1"
"ENST00000323959.9"	0	0	0	0	-0.573580382117027	0	0	0	0	0	0	0	0	0	"CSTF3"
"ENST00000299240.10"	0	0	0	0	-1.94480996299951	0	0	0	0	0	0	-0.642436549858347	0	0	"TTC17"
"ENST00000533072.1"	0	0	0	0	3.34197982448315	0	0	0	0	0	0	0	0	0	"TTC17"
"ENST00000358252.8"	0	0	0	0	-0.733114185709694	0	0	0	0	0	0	0	0	0	"TNKS1BP1"
"ENST00000328257.13"	0	0	0	0	-0.63252851875616	0	0	0	0	0	0	0	0	0	"PPME1"
"ENST00000539021.1"	0	0	0	0	4.02229771520595	0	0	0	0	0	0	0	0	0	"PPME1"
"ENST00000624931.1"	0	0	0	0	0.626153636050832	0	0	0	0	0	0	0	0	0	"PCF11"
"ENST00000530167.2"	0	0	0	0	-0.314289967018908	0	0	0	0	0	0	0	0	0	"H2AX"
"ENST00000375167.1"	0	0	0	0	1.17000906552217	0	0	0	0	0	0	0	0	0	"H2AX"
"ENST00000534947.5"	0	0	0	0	-1.08271980930052	0	0	0	0	0	0	0	0	0	"COPS7A"
"ENST00000313546.8"	0	0	0	0	-0.781872044450002	0	0	0	0	0	0	0	0	0	"POC1B"
"ENST00000455511.9"	0	0	0	0	-0.662093760359043	0	0	0	0	0	0	0	0	0	"ANAPC7"
"ENST00000452721.2"	0	0	0	0	2.71590240997751	0	0	0	0	0	0	0	0	0	"ANAPC7"
"ENST00000353487.7"	0	0	0	0	-0.330025813950674	0	0	0	0	0	0	0	0	0	"SPPL3"
"ENST00000392495.7"	0	0	0	0	2.54267466293834	0	0	0	0	0	0	0	0	0	"SPPL3"
"ENST00000261819.8"	0	0	0	0	-1.24923992199662	0	0	0	0	0	0	0	0	0	"ANAPC5"
"ENST00000686729.1"	0	0	0	0	-2.3823357596154	0	0	0	0	0	0	0	0	0	"EXOSC8"
"ENST00000490680.5"	0	0	0	0	-0.341174130536439	0	0	0	0	0	0	0	0	0	"IPO5"
"ENST00000491555.5"	0	0	0	0	1.2450862899321	0	0	0	0	0	0	0	0	0	"IPO5"
"ENST00000361283.4"	0	0	0	0	-0.650074869486286	0	0	0	0	0	0	0	0	0	"CHAMP1"
"ENST00000700528.1"	0	0	0	0	3.98829750465974	0	0	0	0	0	0	0	-2.2132108387335	0	"CHAMP1"
"ENST00000555656.5"	0	0	0	0	-0.6825513984116	0	0	0	0	0	0	0	0	0	"OSGEP"
"ENST00000397120.8"	0	0	0	0	-0.409120819201848	0	0	0	0	0	0	0	0	0	"AP1G2"
"ENST00000216484.7"	0	0	0	0	-0.568388390049413	0	0	0	0	0	0	0	0	0	"SPTLC2"
"ENST00000687688.1"	0	0	0	0	4.15992839111785	0	0	0	0	0	0	0	0	0	"SPTLC2"
"ENST00000216277.13"	0	0	0	0	-0.703393005917695	0	0	0	0	0	0	0	0	0	"PAPOLA"
"ENST00000556260.6"	0	0	0	0	0.796836059606472	0	0	0	0	0	0	0	0	0	"PPP2R5C"
"ENST00000350249.7"	0	0	0	0	-1.31701258862316	0	0	0	0	0	0	0	0	0	"PPP2R5C"
"ENST00000559514.5"	0	0	0	0	-0.763350647778679	0	0	0	0	0	0	0	0	0	"CINP"
"ENST00000216756.11"	0	0	0	0	0.128063362163031	0	0	0	0	0	0	0	0	0	"CINP"
"ENST00000556463.5"	0	0	0	0	3.58322708848953	0	0	0	0	0	0	0	0	0	"MARK3"
"ENST00000674165.1"	0	0	0	0	-0.503366716875719	0	0	0	0	0	0	0	0	0	"COA8"
"ENST00000348520.10"	0	0	0	0	-0.592849077062026	0	0	0	0	0	0	0	0	0	"KLC1"
"ENST00000554581.5"	0	0	0	0	2.24016614739146	0	0	0	0	0	0	0	0	0	"AKT1"
"ENST00000407796.7"	0	0	0	0	-1.11024336816471	0	0	0	0	0	0	0	0	0	"AKT1"
"ENST00000674227.1"	0	0	0	0	5.43122519035209	0	0	0	0	0	0	0	0	0	"NIPA2"
"ENST00000260403.7"	0	0	0	0	-0.544338654386795	0	0	0	0	0	0	0	0	0	"TMEM62"
"ENST00000563859.5"	0	0	0	0	3.29634612755531	0	0	0	0	0	0	0	0	0	"TMEM62"
"ENST00000358278.7"	0	0	0	0	-1.41505231036397	0	0	0	0	0	0	0	0	0	"TPM1"
"ENST00000454830.6"	0	0	0	0	-1.01138958145113	0	0	0	0	0	0	-0.267944208438674	0	0	"CLK3"
"ENST00000336216.9"	0	0	0	0	-0.682467299140196	0	0	0	0	0	0	0	0	0	"HMG20A"
"ENST00000427587.9"	0	0	0	0	0.255835209384481	0	0	0	0	0	0	0	0	0	"EEF2KMT"
"ENST00000327827.12"	0	0	0	0	0.302062119912939	0	0	0	0	0	0	0	-0.273867229554086	0	"HAPSTR1"
"ENST00000574285.2"	0	0	0	0	-0.396636477441913	0	0	0	0	0	0	0	0.348959791041343	0	"HAPSTR1"
"ENST00000299853.10"	0	0	0	0	-0.58651650226126	0	0	0	0	0	0	0	0	0	"POLR3E"
"ENST00000565117.1"	0	0	0	0	1.44380577878215	0	0	0	0	0	0	0	0	0	"POLR3E"
"ENST00000651894.2"	0	0	0	0	0.199099847155117	0	0	0	0	0	0	0.134464898146051	0	0	"BOLA2B"
"ENST00000305321.4"	0	0	0	0	-0.668362048229063	0	0	0	0	0	0	0	0	0	"BOLA2B"
"ENST00000356166.11"	0	0	0	0	-0.742775265423844	0	0	0	0	0	0	0	0	0	"FBRS"
"ENST00000487509.6"	0	0	0	0	0.0459198527215776	0	0	0	0	0	0	0	0	0	"FUS"
"ENST00000380006.2"	0	0	0	0	1.16217333511054	0	0	0	0	0	0	0	0	0	"SIAH1"
"ENST00000394725.3"	0	0	0	0	-0.523502756413424	0	0	0	0	0	0	0	0	0	"SIAH1"
"ENST00000340099.10"	0	0	0	0	-1.00196555364379	0	0	0	0	0	0	0	0	0	"DOK4"
"ENST00000219281.8"	0	0	0	0	-0.58742474429332	0	0	0	0	0	0	0	0	0	"USB1"
"ENST00000301015.14"	0	0	0	0	-0.663033956389407	0	0	0	0	0	0	0	0	0	"PIEZO1"
"ENST00000484567.6"	0	0	0	0	0.743802106323174	0	0	0	0	0	0	0	0	0	"PIEZO1"
"ENST00000254718.9"	0	0	0	0	-0.621248781707928	0	0	0	0	0	0	0	0	0	"MYBBP1A"
"ENST00000575112.5"	0	0	0	0	-0.317212425683996	0	0	0	0	0	0	0	0	0	"RPAIN"
"ENST00000621332.5"	0	0	0	0	-0.700047833269717	0	0	0	0	0	0	0	0	0	"MLLT6"
"ENST00000398532.9"	0	0	0	0	-0.85670642618842	0	0	0	0	0	0	0	0	0	"MSL1"
"ENST00000577454.5"	0	0	0	0	0.728181993386498	0	0	0	0	0	0	0	0	0	"MSL1"
"ENST00000393885.9"	0	0	0	0	-0.585558518220185	0	0	0	0	0	0	0	0	0	"NKIRAS2"
"ENST00000361523.8"	0	0	0	0	0.577758191761532	0	0	0	0	0	0	0	0	0	"BECN1"
"ENST00000017003.7"	0	0	0	0	-0.791723897902201	0	0	0	0	0	0	0	0	0	"XYLT2"
"ENST00000571021.1"	0	0	0	0	2.75009497121767	0	0	0	0	0	0	0	0	0	"XYLT2"
"ENST00000389924.7"	0	0	0	0	-0.714766187312538	0	0	0	0	0	0	0	0	0	"DDX42"
"ENST00000586299.1"	0	0	0	0	0.826445898538334	0	0	0	0	0	0	0	0	0	"CYTH1"
"ENST00000400345.8"	0	0	0	0	-1.28011146322858	0	0	0	0	0	0	0	0.785456091598304	0	"NEDD4L"
"ENST00000324262.9"	0	0	0	0	-0.888539175171457	0	0	0	0	0	0	0	0	0	"CNDP2"
"ENST00000590599.2"	0	0	0	0	3.7546620454402	0	0	0	0	0	0	0	0.829651643475137	0	"CTDP1"
"ENST00000354171.13"	0	0	0	0	-0.458374393398983	0	0	0	0	0	0	0	0	0	"GPX4"
"ENST00000262965.12"	0	0	0	0	-0.242214337855778	0	0	0	0	0	0	0	0	0	"TCF3"
"ENST00000472442.2"	0	0	0	0	2.87833829949221	0	0	0	0	0	0	0	0	0	"SCAMP4"
"ENST00000252599.9"	0	0	0	0	-0.641723866537328	0	0	0	0	0	0	0	0	0	"COLGALT1"
"ENST00000593832.1"	0	0	0	0	1.91148149188413	0	0	0	0	0	0	0	0	0	"COLGALT1"
"ENST00000262803.10"	0	0	0	0	-0.621011868928624	0	0	0	0	0	0	0	0	0	"UPF1"
"ENST00000596842.5"	0	0	0	0	2.94780898789431	0	0	0	0	0	0	0	0	0	"UPF1"
"ENST00000545173.6"	0	0	0	0	-0.242932252589007	0	0	0	0	0	0	0	0	0	"EIF3K"
"ENST00000572515.5"	0	0	0	0	-0.334456939293075	0	0	0	0	0	0	0	0	0	"NFKBIB"
"ENST00000594998.1"	0	0	0	0	2.97002991376225	0	0	0	0	0	0	0	0	0	"MED25"
"ENST00000396388.3"	0	0	0	0	-0.48045963401182	0	0	0	0	0	0	0	0	0	"TSEN34"
"ENST00000379852.8"	0	0	0	0	-0.764903369864702	0	0	0	0	0	0	0	0	0	"NRBP1"
"ENST00000460499.5"	0	0	0	0	1.24950388689858	0	0	0	0	0	0	0	0	0	"NRBP1"
"ENST00000403359.8"	0	0	0	0	-0.55164919131187	0	0	0	0	0	0	0	0	0	"FBXO11"
"ENST00000233838.9"	0	0	0	0	-1.0049009637263	0	0	0	0	0	0	0	0	0	"GGCX"
"ENST00000254630.12"	0	0	0	0	-0.74366642958466	0	0	0	0	0	0	0	0	0	"PTCD3"
"ENST00000487043.5"	0	0	0	0	3.29510600297383	0	0	0	0	0	0	0	0	0	"PTCD3"
"ENST00000272418.7"	0	0	0	0	0.0916588083213753	0	0	0	0	0	0	0	-0.0977933610656518	0	"MRPS5"
"ENST00000323853.10"	0	0	0	0	-0.601680111340443	0	0	0	0	0	0	0	0	0	"SNRNP200"
"ENST00000497539.5"	0	0	0	0	2.93704871739028	0	0	0	0	0	0	0	0	0	"SNRNP200"
"ENST00000322313.9"	0	0	0	0	-0.621452919672621	0	0	0	0	0	0	0	0	0	"WDR33"
"ENST00000409658.7"	0	0	0	0	1.21459086741465	0	0	0	0	0	0	0	0	0	"WDR33"
"ENST00000261015.5"	0	0	0	0	-0.497305252028693	0	0	0	0	0	0	0	0	0	"WDR12"
"ENST00000688520.1"	0	0	0	0	0.23168723242417	0	0	0	0	0	0	0	0	0	"WDR12"
"ENST00000313597.10"	0	0	0	0	-1.05482126263344	0	0	0	0	0	0	0	0	0	"GMPPA"
"ENST00000350033.8"	0	0	0	0	-0.663913224090806	0	0	0	0	0	0	0	0	0	"COPS7B"
"ENST00000488111.1"	0	0	0	0	2.75870765539198	0	0	0	0	0	0	0	0	0	"COPS7B"
"ENST00000646561.1"	0	0	0	0	-0.922676301283681	0	0	0	0	0	0	0	0	0	"CSNK2A1"
"ENST00000377813.6"	0	0	0	0	-0.149674542697521	0	0	0	0	0	0	0	0	0	"RRBP1"
"ENST00000354989.9"	0	0	0	0	-0.537230819663839	0	0	0	0	0	0	0	0	0	"ENTPD6"
"ENST00000374012.8"	0	0	0	0	-0.542832283066339	0	0	0	0	0	0	0	0	0	"PHF20"
"ENST00000617560.1"	0	0	0	0	0.3756831993486	0	0	0	0	0	0	0	0	0	"PHF20"
"ENST00000475894.5"	0	0	0	0	-0.414391132228707	0	0	0	0	0	0	0	0	0	"DLGAP4"
"ENST00000340491.8"	0	0	0	0	0.197316249422581	0	0	0	0	0	0	0	0	0	"DLGAP4"
"ENST00000373447.8"	0	0	0	0	-0.831012165349154	0	0	0	0	0	0	0	0	0	"TTI1"
"ENST00000602795.6"	0	0	0	0	-1.98568568873451	0	0	0	0	0	0	0	0	0	"NELFCD"
"ENST00000652272.2"	0	0	0	0	1.13127015880533	0	0	0	0	0	0	0	0	0	"NELFCD"
"ENST00000486741.5"	0	0	0	0	0.235543592800015	0	0	0	0	0	0	0	0	0	"HMGN1"
"ENST00000345496.7"	0	0	0	0	-0.307808561125337	0	0	0	0	0	0	0	0	0	"UBE2G2"
"ENST00000311124.9"	0	0	0	0	-0.843546914202889	0	0	0	0	0	0	0	0	0	"SLC19A1"
"ENST00000292733.11"	0	0	0	0	-0.103387365583645	0	0	0	0	0	0	0	0	0	"MED15"
"ENST00000263205.11"	0	0	0	0	-1.00518097536407	0	0	0	0	0	0	0	0	0	"MED15"
"ENST00000361906.8"	0	0	0	0	-0.65277256178979	0	0	0	0	0	0	0	0	0	"TMEM184B"
"ENST00000633056.1"	0	0	0	0	2.71055010745724	0	0	0	0	0	0	0	0	0	"TMEM184B"
"ENST00000698416.1"	0	0	0	0	1.60756875118213	0	0	0	0	0	0	0.668762895773628	0	0	"TRNT1"
"ENST00000451653.5"	0	0	0	0	1.98402984659307	0	0	0	0	0	0	0	0	0	"SEC22C"
